Date,Open,High,Low,Close,Adj Close,Volume
2018-12-27,105.470001,109.330002,104.879997,109.320000,87.735390,10655100
2018-12-28,109.650002,110.360001,108.120003,108.650002,87.197670,6445400
2018-12-31,109.150002,110.239998,107.860001,108.790001,87.310043,6309600
2019-01-02,107.339996,111.680000,107.099998,110.690002,88.834908,6384800
2019-01-03,111.059998,111.290001,108.070000,108.570000,87.133484,6496200
2019-01-04,110.279999,110.989998,109.470001,110.820000,88.939224,7952500
2019-01-07,111.059998,112.930000,109.919998,112.260002,90.094917,5712700
2019-01-08,113.400002,113.790001,111.669998,111.769997,89.701645,5674900
2019-01-09,112.690002,114.000000,112.449997,113.269997,90.905502,7097000
2019-01-10,112.510002,113.629997,111.709999,113.449997,91.049950,6078300
2019-01-11,113.000000,113.050003,111.669998,112.540001,90.319633,4491700
2019-01-14,111.339996,112.339996,111.080002,111.720001,89.661530,6121700
2019-01-15,111.980003,113.070000,111.510002,112.120003,89.982544,4226100
2019-01-16,111.430000,112.320000,111.220001,111.400002,89.404716,5624100
2019-01-17,110.750000,112.290001,110.169998,111.959999,89.854156,4442700
2019-01-18,113.989998,114.650002,113.059998,114.370003,91.788292,9382000
2019-01-22,113.120003,113.449997,111.949997,112.339996,90.159096,7242000
2019-01-23,112.379997,112.669998,110.419998,111.389999,89.396698,6082300
2019-01-24,111.029999,113.820000,110.910004,113.510002,91.098099,8470700
2019-01-25,114.059998,114.779999,112.989998,113.220001,90.865364,6261800
2019-01-28,111.910004,112.570000,111.070000,112.169998,90.022675,6886600
2019-01-29,113.029999,113.349998,111.769997,111.830002,89.749825,5359900
2019-01-30,112.529999,113.650002,111.980003,113.010002,90.696815,7941700
2019-01-31,113.800003,115.410004,113.379997,114.650002,92.013016,11225600
2019-02-01,116.650002,119.250000,116.599998,118.370003,94.998520,10934300
2019-02-04,117.500000,119.750000,116.309998,119.739998,96.098015,7987900
2019-02-05,119.620003,119.860001,118.690002,119.480003,95.889374,6887400
2019-02-06,119.000000,119.589996,118.690002,118.879997,95.407829,4990400
